epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,1431.96,1.05994,0.55073,1.07079,0.9271,0.95144,0.97079,0.71004,1.09098,0.45314,1.1209,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1492.52,1.05653,0.54968,1.0731,0.94011,0.93402,0.96795,0.71459,1.09003,0.44964,1.12239,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1553.07,1.05525,0.54729,1.07085,0.92447,0.95239,0.97131,0.70455,1.09577,0.45338,1.12577,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1613.81,1.05021,0.54159,1.06498,0.93738,0.93736,0.97171,0.71648,1.08862,0.44908,1.11372,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1674.75,1.04209,0.53632,1.06121,0.9236,0.96394,0.97126,0.71461,1.09599,0.44781,1.123,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,1735.56,1.04769,0.54198,1.06141,0.9451,0.94446,0.97297,0.72251,1.08744,0.44551,1.12032,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1796.47,1.04052,0.53422,1.06244,0.95296,0.94662,0.97316,0.7219,1.08854,0.44507,1.12466,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,1857.4,1.03471,0.53057,1.05765,0.96428,0.91541,0.97249,0.71755,1.09469,0.44804,1.12246,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,1918.29,1.03827,0.53202,1.06028,0.95553,0.94899,0.97466,0.71877,1.09526,0.43919,1.1253,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,1978.92,1.03183,0.52716,1.05741,0.95761,0.94902,0.97446,0.71775,1.09386,0.43927,1.12149,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2039.41,1.02999,0.52788,1.05862,0.95678,0.95637,0.97629,0.72171,1.09562,0.44299,1.12249,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2099.9,1.02639,0.52171,1.05613,0.93838,0.96155,0.97401,0.72015,1.08987,0.44212,1.12299,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,2160.68,1.0253,0.51838,1.05605,0.93009,0.95785,0.97281,0.71838,1.08851,0.43874,1.12352,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2221.62,1.01952,0.51925,1.05461,0.9357,0.95296,0.97418,0.71844,1.08943,0.44345,1.12282,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,2282.44,1.01186,0.51341,1.04927,0.95937,0.93796,0.97444,0.72577,1.0891,0.44104,1.1229,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,2343.33,1.00899,0.50922,1.04524,0.94995,0.94743,0.97536,0.72182,1.08955,0.44358,1.11884,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
